Mean Boxsize 
L_x L_y L_z 
54.2025 54.2025 50
q |h_q|^2 |h_q|^2_var
0.11592 407.927 46408.9
0.11592 406.233 56837.4
0.163936 126.244 2819.55
0.163936 106.016 1557.26
0.231841 26.4768 21.6219
0.231841 27.159 26.5361
0.259206 17.0904 2.23758
0.259206 16.0882 4.22086
0.259206 16.9982 9.13936
0.259206 15.5974 6.73743
0.327873 6.47911 0.650971
0.327873 6.26332 0.311571
0.347761 5.08161 0.209329
0.347761 5.0046 0.0432894
0.366573 4.3548 0.087163
0.366573 4.16024 0.15951
0.366573 4.16713 0.0669177
0.366573 4.16119 0.128045
0.417957 2.5203 0.0228884
0.417957 2.5504 0.00938941
0.417957 2.49066 0.0243171
0.417957 2.57168 0.0292092
0.463682 1.77293 0.0160537
0.463682 1.75076 0.0142986
0.477952 1.52886 0.00633269
0.477952 1.58448 0.010424
0.477952 1.56727 0.0100532
0.477952 1.54908 0.0113645
0.491809 1.3924 0.00974515
0.491809 1.37335 0.00665618
0.518412 1.17474 0.00130833
0.518412 1.14352 0.00508104
0.518412 1.13776 0.00364364
0.518412 1.13504 0.00153213
0.579602 0.794998 0.00345093
0.579602 0.750616 0.00163394
0.579602 0.758269 0.00132843
0.579602 0.753008 0.00181958
0.579602 0.771886 0.00250836
0.579602 0.797869 0.00613157
0.591081 0.731628 0.00308869
0.591081 0.712895 0.000782492
0.591081 0.733563 0.00217481
0.591081 0.711701 0.0017716
0.624251 0.588789 0.000930173
0.624251 0.584995 0.000579995
0.624251 0.589891 0.000644596
0.624251 0.571699 0.000952889
0.655745 0.49625 0.00090146
0.655745 0.49799 0.000847885
0.675927 0.442923 0.000987661
0.675927 0.444937 0.000584905
0.675927 0.442871 0.00091144
0.675927 0.451266 0.00107974
0.742253 0.332856 0.000563616
0.742253 0.340197 0.00064101
0.742253 0.331103 0.000605849
0.742253 0.334671 0.000427082
0.819682 0.247613 0.000428104
0.819682 0.24564 0.000521447
