Mean Boxsize 
L_x L_y L_z 
54.2029 54.2029 50
q |h_q|^2 |h_q|^2_var
0.11592 367.246 37095.7
0.11592 393.903 110746
0.163935 120.716 1628.74
0.163935 100.388 921.928
0.23184 26.1647 18.6552
0.23184 27.3723 41.8016
0.259204 17.3136 20.1394
0.259204 15.5612 3.15258
0.259204 16.7546 3.44435
0.259204 17.4006 9.24698
0.327871 6.73477 0.209349
0.327871 6.42196 0.230938
0.347759 5.26102 0.127517
0.347759 5.47933 0.176166
0.36657 4.162 0.211244
0.36657 4.2132 0.0777219
0.36657 4.44044 0.118092
0.36657 4.52227 0.25234
0.417955 2.53285 0.0450711
0.417955 2.65731 0.0420846
0.417955 2.55549 0.0247711
0.417955 2.59673 0.0284597
0.463679 1.75467 0.0115509
0.463679 1.77988 0.0258853
0.477949 1.59329 0.00412231
0.477949 1.53753 0.0059664
0.477949 1.56721 0.00904523
0.477949 1.57637 0.00355114
0.491806 1.46026 0.00597913
0.491806 1.3592 0.00559662
0.518409 1.1184 0.00180098
0.518409 1.1666 0.00266412
0.518409 1.12831 0.0030516
0.518409 1.18729 0.00270357
0.579599 0.772414 0.00125849
0.579599 0.766445 0.000826364
0.579599 0.777634 0.00136908
0.579599 0.77504 0.00143829
0.579599 0.788942 0.000780055
0.579599 0.793081 0.00467899
0.591077 0.713999 0.0014117
0.591077 0.734464 0.000865069
0.591077 0.726831 0.000908304
0.591077 0.715767 0.00170482
0.624247 0.589528 0.000716843
0.624247 0.576037 0.000312044
0.624247 0.600972 0.0011463
0.624247 0.594358 0.000998929
0.655741 0.496558 0.000374505
0.655741 0.505505 0.000696957
0.675923 0.451064 0.000412885
0.675923 0.450442 0.000535394
0.675923 0.455871 0.000688964
0.675923 0.453495 0.000955781
0.742249 0.329727 0.000196557
0.742249 0.336939 0.000446584
0.742249 0.33193 0.000189867
0.742249 0.334509 0.000182146
0.819677 0.247196 0.000165965
0.819677 0.247847 0.000233881
