Mean Boxsize 
L_x L_y L_z 
54.2175 54.2175 50
q |h_q|^2 |h_q|^2_var
0.115889 393.129 49526.9
0.115889 360.641 138101
0.163891 101.949 5190.78
0.163891 138.135 2629.8
0.231777 26.9482 26.3137
0.231777 29.551 63.31
0.259135 17.0059 2.90339
0.259135 16.4713 8.57956
0.259135 16.6324 15.3728
0.259135 17.0083 6.00364
0.327782 6.43876 0.534343
0.327782 6.2506 0.163487
0.347666 5.16302 0.201055
0.347666 5.07324 0.199664
0.366472 4.28279 0.0463003
0.366472 4.2447 0.160654
0.366472 4.17036 0.143063
0.366472 4.06482 0.158632
0.417842 2.50431 0.0265397
0.417842 2.50711 0.0400033
0.417842 2.45428 0.0193141
0.417842 2.50249 0.014254
0.463554 1.70723 0.0414932
0.463554 1.69911 0.00795826
0.477821 1.49965 0.0141605
0.477821 1.49479 0.00217361
0.477821 1.52356 0.0051143
0.477821 1.51446 0.00519472
0.491674 1.34353 0.00482667
0.491674 1.36127 0.00544274
0.518269 1.1036 0.00420899
0.518269 1.13237 0.00241655
0.518269 1.12278 0.00358629
0.518269 1.13981 0.00633374
0.579443 0.776444 0.0115582
0.579443 0.740607 0.00185198
0.579443 0.752726 0.00135509
0.579443 0.759397 0.00215181
0.579443 0.752431 0.00195491
0.579443 0.726745 0.00124002
0.590918 0.702002 0.00181885
0.590918 0.725007 0.00183118
0.590918 0.701453 0.00186725
0.590918 0.695506 0.00280519
0.624079 0.56318 0.000478618
0.624079 0.572537 0.000719883
0.624079 0.565947 0.000989055
0.624079 0.577339 0.00187818
0.655565 0.489977 0.000984964
0.655565 0.488102 0.000629251
0.675741 0.442238 0.000512099
0.675741 0.448653 0.00126295
0.675741 0.443297 0.000567765
0.675741 0.441812 0.000783668
0.742049 0.326962 0.000537136
0.742049 0.321609 0.000404617
0.742049 0.325877 0.000514822
0.742049 0.324183 0.000577205
0.819456 0.239045 0.000604177
0.819456 0.244818 0.000442299
